Magazin standard,Stradă standard,Localitate standard,Sector atribuit,Județ,Nr. clienți
Staer 23,intrarea biruintei,sector 4,sector 4,bucurești,2
Staer 23,intrarea bujorului,pantelimon,—,ilfov,1
Staer 23,intrarea campului,pantelimon,—,ilfov,1
Staer 23,intrarea ciresului,dobroești,—,ilfov,1
Staer 23,intrarea ciulin,berceni (ilfov),—,ilfov,4
Staer 23,intrarea cobilitei,sector 2,sector 2,bucurești,1
Staer 23,intrarea constructorului,buftea,—,ilfov,1
Staer 23,intrarea crisul alb,sector 4,sector 4,bucurești,4
Staer 23,intrarea dispensarului,clinceni,—,ilfov,1
Staer 23,intrarea doctor felix,sector 1,sector 1,bucurești,1
Staer 23,intrarea doinei,dobroești,—,ilfov,7
Staer 23,intrarea humulesti,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,intrarea humulesti,sector 4,sector 4,bucurești,1
Staer 23,intrarea humulesti,sector 5,sector 5,bucurești,3
Staer 23,intrarea iuliu valaori,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,intrarea lacramioarei,berceni (ilfov),—,ilfov,2
Staer 23,intrarea leordeni,bragadiru,—,ilfov,1
Staer 23,intrarea lunca barzesti,sector 4,sector 4,bucurești,5
Staer 23,intrarea maslinului,berceni (ilfov),—,ilfov,1
Staer 23,intrarea mecet,sector 2,sector 2,bucurești,1
Staer 23,intrarea mesteacanului,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,intrarea naruja,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,intrarea naruja,sector 4,sector 4,bucurești,1
Staer 23,intrarea negru voda,brănești,—,ilfov,2
Staer 23,intrarea nicolae iorga,chiajna–roșu–dudu,—,ilfov,1
Staer 23,intrarea nuferilor,chiajna–roșu–dudu,—,ilfov,1
Staer 23,intrarea odobesti,bucurești neatribuit,bucurești neatribuit,bucurești,2
Staer 23,intrarea odobesti,sector 2,sector 2,bucurești,1
Staer 23,intrarea odobesti,sector 3,sector 3,bucurești,6
Staer 23,intrarea ogradei,sector 5,sector 5,bucurești,1
Staer 23,intrarea parfumului,sector 3,sector 3,bucurești,1
Staer 23,intrarea parului,sector 3,sector 3,bucurești,2
Staer 23,intrarea pinului,sector 6,sector 6,bucurești,1
Staer 23,intrarea precupetii vechi,sector 2,sector 2,bucurești,1
Staer 23,intrarea privighetorii,clinceni,—,ilfov,3
Staer 23,intrarea reconstructiei,sector 3,sector 3,bucurești,10
Staer 23,intrarea schitului,ganeasa,—,ilfov,2
Staer 23,intrarea scropoasa,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,intrarea scropoasa,sector 4,sector 4,bucurești,1
Staer 23,intrarea sergiu celibidache,otopeni,—,ilfov,1
Staer 23,intrarea sf gheorghe,pantelimon,—,ilfov,3
Staer 23,intrarea teiul domnei,sector 2,sector 2,bucurești,2
Staer 23,intrarea trifoiului,brănești,—,ilfov,2
Staer 23,intrarea turceni,sector 5,sector 5,bucurești,1
Staer 23,intrarea uzinei,catelu,—,ilfov,1
Staer 23,intrarea vacaresti,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,intrarea viitorului,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,intrarea viitorului,sector 2,sector 2,bucurești,2
Staer 23,intrarea viorelelor,berceni (ilfov),—,ilfov,2
Staer 23,intrarea zorilor,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,inului,sector 2,sector 2,bucurești,1
Staer 23,invatatorului,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,invingatorilor,glina,—,ilfov,1
Staer 23,invingatorilor,sector 3,sector 3,bucurești,5
Staer 23,ioan mihalache,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,ioan voda caragea,sector 1,sector 1,bucurești,2
Staer 23,ioescu gheorghe,sector 4,sector 4,bucurești,1
Staer 23,ion agarbiceanu,berceni (ilfov),—,ilfov,5
Staer 23,ion antonescu,1 decembrie,—,ilfov,1
Staer 23,ion barbu,1 decembrie,—,ilfov,6
Staer 23,ion barbu,sat 1 decembrie,—,ilfov,1
Staer 23,ion berindei,sector 2,sector 2,bucurești,3
Staer 23,ion berindei 3,sector 2,sector 2,bucurești,1
Staer 23,ion brezoi,sector 5,sector 5,bucurești,1
Staer 23,ion brezoianu,bucurești neatribuit,bucurești neatribuit,bucurești,2
Staer 23,ion brezoianu,sector 1,sector 1,bucurești,1
Staer 23,ion brezoianu,sector 5,sector 5,bucurești,1
Staer 23,ion ciopleanu,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,ion cornea,sector 5,sector 5,bucurești,1
Staer 23,ion creanga,berceni (ilfov),—,ilfov,1
Staer 23,ion enache,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,ion funaghi,voluntari–pipera,—,ilfov,1
Staer 23,ion heliade radulescu,sector 2,sector 2,bucurești,1
Staer 23,ion iliceanu,sector 4,sector 4,bucurești,1
Staer 23,ion iosif,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,ion iriceanu,sector 4,sector 4,bucurești,2
Staer 23,ion lahovari,dumbrăveni,—,ilfov,1
Staer 23,ion luca caragiale,1 decembrie,—,ilfov,1
Staer 23,ion luca caragiale,berceni (ilfov),—,ilfov,1
